seed,variant,best_epoch,selected_validation_pid_cross_entropy,selected_validation_pid_accuracy,best_validation_pid_epoch,best_validation_pid_cross_entropy,best_validation_pid_accuracy,target_dim,parameter_count,test_rows,test_pid_cross_entropy,test_pid_accuracy,worst_bin_tv,dataset_metadata_sha256,selection_sha256,data_split_seed,data_order_seed,weighted_bin_tv_pi_minus,correct_id_teacher_pi_minus,correct_id_probability_pi_minus,correct_id_abs_error_pi_minus,weighted_bin_tv_pi_plus,correct_id_teacher_pi_plus,correct_id_probability_pi_plus,correct_id_abs_error_pi_plus,weighted_bin_tv_proton,correct_id_teacher_proton,correct_id_probability_proton,correct_id_abs_error_proton,macro_weighted_bin_tv,macro_correct_id_mae,checkpoint_sha256
20260827,no_beta,16,1.0120500106970758,0.6765804164152082,21,1.0075983739287722,0.6770204687185677,3,222324,158482,1.0125494799854835,0.675950581138552,0.11850116961562676,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.03585458120084821,0.5499705349542746,0.5500869750976562,0.00011644014338163533,0.05486791070287687,0.5906400817275513,0.5948739051818848,0.00423382345433343,0.03211306737881042,0.8142992610617094,0.8175642490386963,0.0032649879769869328,0.04094518642751183,0.0025384171915673326,471aaeb307c014f77ea40e99f81adaa2f86f4e76704b55b6d7a90abfb8f87d79
20260827,joint_beta,12,1.0285714442066638,0.675373415811708,17,1.015313437612837,0.6759894890364112,4,226436,158482,1.0294441293486754,0.674461453035676,0.16152447893400781,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.04680376775256481,0.5499705349542746,0.544826090335846,0.005144444618428667,0.05362781780758674,0.5906400817275513,0.5800365805625916,0.010603501164959783,0.028912439309883207,0.8142992610617094,0.818210780620575,0.003911519558865595,0.043114674956678256,0.0065531551140846815,1fa95046a5b7f240e36924c2023d20101b058dcf30f0752d586517af29ab15d8
20260828,no_beta,18,1.0338875660712128,0.6757631764232549,23,1.0197465008136324,0.6767501508750754,3,222324,158482,1.0355780446949565,0.6750924395199455,0.1745074877433187,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.07656968825733668,0.5499705349542746,0.5246576070785522,0.02531292787572237,0.036938723467357056,0.5906400817275513,0.5895934700965881,0.0010466116309632012,0.06103935003530926,0.8142992610617094,0.7874718904495239,0.02682737061218543,0.05818258725333433,0.017728970039623666,e2cf3bc8e18cff955db0a3fc5d1e7b7cd797928be49f49a99dabeb28827336e1
20260828,joint_beta,17,1.0529822524681198,0.6759957754978877,22,1.0271201877856826,0.6769135988734661,4,226436,158482,1.0545070631932418,0.6750861296551028,0.15416659649699577,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.09164502523849136,0.5499705349542746,0.5138300061225891,0.0361405288316855,0.046120736367027085,0.5906400817275513,0.5826084017753601,0.008031679952191229,0.07016562271834721,0.8142992610617094,0.7813970446586609,0.03290221640304847,0.06931046144128855,0.0256914750623084,26845083e882665f156a92bd8ad9479d2ccbf29bbbd58231a272afbf8b5f1605
20260829,no_beta,19,1.0158747545647875,0.6768507342587005,24,1.0078065476650637,0.6772656407161537,3,222324,158482,1.0162429551718035,0.6757739049229565,0.08903630914619366,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.03901896608474285,0.5499705349542746,0.5471301674842834,0.0028403674699911674,0.046706952769015306,0.5906400817275513,0.5779882073402405,0.012651874387310857,0.030235096546006483,0.8142992610617094,0.814656138420105,0.0003568773583956242,0.038653671799921546,0.005283039738565883,856cff8fb04f0282359f7b3acd7064490e9d89e6ab42f2cc85fe08435bb34cac
20260829,joint_beta,10,1.0285774311221263,0.675128243814122,15,1.0147229081019384,0.6762095151880909,4,226436,158482,1.0293308617548447,0.6743100162794513,0.1447189611072994,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.04946179469209325,0.5499705349542746,0.5578697323799133,0.007899197425638715,0.04622134209089898,0.5906400817275513,0.5861223936080933,0.004517688119458074,0.04192974683633871,0.8142992610617094,0.8172287940979004,0.0029295330361910343,0.04587096120644365,0.005115472860429275,4c7d5a4ee4dfd9927eac2df67fefd29158067c3f0554a0325575b12ea80222e5
20260830,no_beta,9,1.027717711471787,0.6760397807282237,14,1.0157583943916455,0.6764861194930597,3,222324,158482,1.0284333799423946,0.6749283830340355,0.1284000377634913,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.050459452970313595,0.5499705349542746,0.5483080148696899,0.0016625200845846733,0.042007403650759965,0.5906400817275513,0.5790563225746155,0.011583759152935857,0.03572074834538885,0.8142992610617094,0.8153377771377563,0.0010385160760469914,0.04272920165548747,0.004761598437855841,813fa63e32c2b20b1749d5a268e377075c8a922ed72b311c4e375d189b1ae338
20260830,joint_beta,11,1.0392953336802413,0.6752791188895595,16,1.0174135885303877,0.6762409474954737,4,226436,158482,1.040110153476807,0.6742910866849232,0.15881343246578164,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.05997548361443861,0.5499705349542746,0.5471842885017395,0.0027862464525351127,0.05497130298212422,0.5906400817275513,0.5837588310241699,0.006881250703381414,0.034879237409252896,0.8142992610617094,0.8123164176940918,0.0019828433676175594,0.04994200800193857,0.0038834468411780287,03ba7989b5dde15c867cb396d36b904fd1c8826dd14574fdb600dc7e2a122eaa
20260831,no_beta,14,1.0152764177806803,0.6760460671897003,19,1.0084010398356733,0.6769198853349426,3,222324,158482,1.015705919332241,0.6751555381683725,0.09402686898172465,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.042515258890036316,0.5499705349542746,0.5512529611587524,0.0012824262044778267,0.04053539433439884,0.5906400817275513,0.5872226357460022,0.0034174459815491387,0.024274484700804864,0.8142992610617094,0.8196896314620972,0.005390370400387812,0.03577504597508,0.0033634141954715924,ba6393b2c48614a4a6aac4f452d260d42b08bca5c2a95b1e7ee8178512ef4aae
20260831,joint_beta,12,1.029832553777194,0.6759266244216455,17,1.021161380487533,0.6768067290283645,4,226436,158482,1.030238699806815,0.6751744677629005,0.11131013530383652,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.04744066627279141,0.5499705349542746,0.5450478196144104,0.004922715339864214,0.057177208236022965,0.5906400817275513,0.5884649157524109,0.0021751659751404473,0.038077294609765354,0.8142992610617094,0.8169173002243042,0.002618039162594843,0.04756505637285991,0.003238640159199835,10b48986a99a007ec427d4c731a62c0456bfd5ff53791cec6483eae3fedc55ef
