run,generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
tuned,2212,proton,1,1.0,2.0,False,9202,0.005332506186774443,0.004258678360706349,2112,1.0,0.9999999993941705
tuned,2212,proton,2,2.0,3.0,False,10040,0.010080598743449486,0.007612818124819065,2212,1.0,0.9999999999943291
tuned,2212,proton,3,3.0,4.0,False,10258,0.003924216460643084,0.002459543360752048,2212,1.0,1.0000000008454792
tuned,2212,proton,4,4.0,5.0,False,10333,0.0036623074179668587,0.002911674059122779,22,1.0,1.0000000002723566
tuned,2212,proton,5,5.0,6.0,False,9225,0.019160731857033143,0.01806155211961047,2212,0.9999999999999999,0.9999999991717453
tuned,2212,proton,6,6.0,7.0,False,3217,0.012864948044279434,0.009149670343814822,2112,1.0,0.9999999998970386
restart-selected,-211,pi-,0,0.0,1.0,False,1554,0.01449204054532318,0.011963752653039839,2112,0.9999999999999999,0.999999996854826
restart-selected,-211,pi-,1,1.0,2.0,False,5700,0.005179212647796996,0.0025427769524303256,-211,1.0,0.9999999995689212
restart-selected,-211,pi-,2,2.0,3.0,False,6579,0.010450005944869374,0.008571453344534574,-211,0.9999999999999999,1.000000000229508
restart-selected,-211,pi-,3,3.0,4.0,False,7020,0.005539649584524178,0.004003455141191756,22,1.0,1.000000000171515
restart-selected,-211,pi-,4,4.0,5.0,False,7152,0.011870645085169907,0.006410078127223162,-211,1.0000000000000002,1.000000000373066
restart-selected,-211,pi-,5,5.0,6.0,False,6396,0.009900684471479036,0.006335515667628341,-2212,1.0,1.0000000001054767
restart-selected,-211,pi-,6,6.0,7.0,False,6107,0.014139452953329749,0.006986752638533961,-321,1.0,0.9999999997747687
restart-selected,-211,pi-,7,7.0,8.0,False,4253,0.005899827443910151,0.003676935083538224,-321,1.0,1.0000000005443466
restart-selected,-211,pi-,8,8.0,9.0,True,1220,0.03412410608107533,0.021399372970139302,-2212,1.0,1.0000000037994774
restart-selected,211,pi+,0,0.0,1.0,False,3118,0.007837153409829647,0.0063747567610188405,211,1.0,0.9999999997183519
restart-selected,211,pi+,1,1.0,2.0,False,7438,0.0051175666225505055,0.002770324221625438,2212,1.0,0.9999999984037924
restart-selected,211,pi+,2,2.0,3.0,False,7854,0.0070884822502861,0.005212884905613113,211,0.9999999999999999,1.000000000041108
restart-selected,211,pi+,3,3.0,4.0,False,8147,0.007658555642539803,0.004228133366265929,211,1.0000000000000002,0.9999999990057485
restart-selected,211,pi+,4,4.0,5.0,False,8181,0.00969678049387393,0.004582625228425591,321,1.0,1.000000000568372
restart-selected,211,pi+,5,5.0,6.0,False,7698,0.010153762042071477,0.008165007265379998,22,1.0,1.0000000001374783
restart-selected,211,pi+,6,6.0,7.0,False,7337,0.007829025424015963,0.006356022216981783,211,0.9999999999999999,1.0000000004077512
restart-selected,211,pi+,7,7.0,8.0,False,5501,0.009268118339708024,0.006626409656843746,321,1.0,0.9999999992131198
restart-selected,211,pi+,8,8.0,9.0,True,1725,0.02469861104787464,0.01398792038202637,321,1.0,0.9999999996987804
restart-selected,2212,proton,0,0.0,1.0,False,3730,0.002522938090820981,0.002199326021142367,2212,1.0,0.9999999987665965
restart-selected,2212,proton,1,1.0,2.0,False,9202,0.006316579724946952,0.005133203890527238,2112,1.0,0.9999999998363885
restart-selected,2212,proton,2,2.0,3.0,False,10040,0.008851823362160383,0.007356317250189814,2212,1.0,0.9999999994614658
restart-selected,2212,proton,3,3.0,4.0,False,10258,0.0020242688881692,0.0011353332563497354,2212,1.0,1.0000000004336131
restart-selected,2212,proton,4,4.0,5.0,False,10333,0.003984458988189474,0.003049688704867645,22,1.0,1.0000000016240957
restart-selected,2212,proton,5,5.0,6.0,False,9225,0.01199563659745099,0.010908719435975378,2212,0.9999999999999999,1.0000000000088465
restart-selected,2212,proton,6,6.0,7.0,False,3217,0.008554291876989712,0.004261855887513155,2212,1.0,1.0000000000613358
