generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,observed_mean,sampled_mean,absolute_mean_difference,observed_std,sampled_std,std_ratio,observed_q05,sampled_q05,observed_median,sampled_median,observed_q95,sampled_q95,wasserstein_1d,observed_in_training_domain_fraction,sampled_in_training_domain_fraction
211,pi+,1,1.0,2.0,False,7417,0.9765016439849495,0.975759034527882,0.0007426094570675001,0.0723312323133821,0.07122041374388728,0.9846426151751143,0.8763951405149415,0.8393934537266646,0.9937655342619646,0.9929485680805237,1.0023414619258277,1.0046034692138222,0.00524214909138505,1.0,0.9991910475933666
211,pi+,2,2.0,3.0,False,7822,0.9733558556140165,0.9728209966198287,0.0005348589941878146,0.08176924700211831,0.08169513226678563,0.9990936111307132,0.8231034206381045,0.7858808039033571,0.9967449014940055,0.9958471694521233,1.004888761197923,1.0074152474426439,0.006125610894905657,1.0,0.9991050882127334
211,pi+,3,3.0,4.0,False,8115,0.9744443647436464,0.972573536159929,0.0018708285837173433,0.07897081622816916,0.08123813165423956,1.02871080146265,0.8336301844279513,0.7888974373116749,0.9973779319121343,0.9966099833066852,1.0055695069552324,1.0080885955514882,0.007155284480161564,1.0,0.9983980283425755
211,pi+,4,4.0,5.0,False,8150,0.9713319955790203,0.9721404084011322,0.0008084128221119702,0.08225970784948125,0.08295590534642838,1.0084634083337742,0.8100753371491252,0.7805221431164653,0.9974991969337894,0.9969212032687933,1.0059639628918298,1.0090312649488686,0.005386387110218638,1.0,0.9987730061349693
211,pi+,5,5.0,6.0,False,7664,0.974320010390369,0.973138903170098,0.0011811072202709827,0.07762177211727742,0.08074820573966875,1.040277792391388,0.8306759951144014,0.7798471189725269,0.9977475698266323,0.9970426233023626,1.0064468252557208,1.0098435647393902,0.007348455107516003,1.0,0.9984342379958246
211,pi+,6,6.0,7.0,False,7303,0.9764899574455793,0.9756146600700712,0.0008752973755080662,0.07503069668615875,0.0764146082123808,1.0184446045064826,0.8463171500479038,0.8012325057002709,0.9980351921353484,0.9973628849202713,1.006598054796817,1.0099613718532867,0.007446090772671962,1.0,0.9973983294536491
211,pi+,7,7.0,8.0,False,5471,0.9767253387262566,0.9741224501792731,0.0026028885469834284,0.07093227906265472,0.07692350510676352,1.0844640285534421,0.8458428975706779,0.7956890194530235,0.9979436389826193,0.9974117730955165,1.0063601123349175,1.0108512288517815,0.007376074237860857,1.0,0.999086090294279
211,pi+,8,8.0,9.0,True,1716,0.9685093863827938,0.9642004888867077,0.004308897496086095,0.08656000990897222,0.08858775009850607,1.0234258313009235,0.8061455935660875,0.7616153747492023,0.9977504913290105,0.996703677054458,1.0051820572046504,1.0126529542498601,0.01224243540099796,1.0,0.9994172494172494
2212,proton,0,0.0,1.0,False,3726,0.612637827419412,0.6072281395109487,0.005409687908463301,0.08231297788652293,0.09114305075313583,1.1072743702552723,0.4606087648477065,0.45517918365985566,0.6270323540284604,0.6209066052185239,0.7185057661694025,0.7176633472222256,0.006078233879617752,1.0,0.999194847020934
2212,proton,1,1.0,2.0,False,9189,0.8260538464585057,0.8230580746663602,0.0029957717921454963,0.0680221117652098,0.07750859591764757,1.139461770683951,0.7297763020053509,0.7215853719977703,0.8392250552881377,0.8386091683204636,0.9003542439786949,0.9001988023643511,0.004201980800206834,1.0,0.999347045380346
2212,proton,2,2.0,3.0,False,10019,0.9117639912701581,0.913081508642228,0.0013175173720699762,0.07348308380299098,0.07148070276216495,0.972750448985042,0.7672247352922297,0.7773780065354576,0.9308867336534885,0.9307515696885378,0.9538515685776557,0.9546645903585532,0.0018751898476348748,1.0,0.9988022756762152
2212,proton,3,3.0,4.0,False,10235,0.9394331466273367,0.9402006801066378,0.0007675334793011412,0.07941101470289871,0.07674336285759858,0.9664070298650553,0.7852600086687126,0.7778115785919857,0.9627656971302568,0.9620947549637551,0.9755795909101006,0.9771220642835784,0.003906052320488039,1.0,0.9989252564728871
2212,proton,4,4.0,5.0,False,10310,0.9516797500965877,0.9524906418590539,0.0008108917624661816,0.08097742538653983,0.07864299742343327,0.9711718673202643,0.7908562894334779,0.7773488354668102,0.9766950289237788,0.975983634648008,0.9864728386108164,0.989448751166591,0.004983683226551938,1.0,0.9990300678952473
2212,proton,5,5.0,6.0,False,9204,0.9595008493885198,0.9619667812194508,0.002465931830931023,0.0808987524146785,0.07225858762238138,0.8931977992935102,0.8181282971481344,0.7983961995586627,0.9836160541376686,0.9831531236878415,0.9923609289695557,0.9948389976265875,0.005456930882304702,1.0,0.9984789222077358
