seed,variant,test_pid_cross_entropy,test_pid_accuracy,selected_epoch,min_total_loss_epoch,min_pid_cross_entropy_epoch,feature_count,target_count,trained_epochs,correct_mae_unweighted_pi_minus,correct_mae_weighted_pi_minus,weighted_bin_tv_pi_minus,correct_mae_unweighted_pi_plus,correct_mae_weighted_pi_plus,weighted_bin_tv_pi_plus,correct_mae_unweighted_proton,correct_mae_weighted_proton,weighted_bin_tv_proton,macro_correct_mae_unweighted,macro_correct_mae_weighted,macro_weighted_bin_tv,mean_w1_delta_p,mean_w1_delta_theta,mean_w1_delta_phi,mean_beta_w1
20260824,B_beta_input_pid1,0.9935817601344044,0.677938188564001,30,26,30,5,3,30,0.011427581657922434,0.009536594646899647,0.02697247123237108,0.011164382712232277,0.009737405775465762,0.029039417491699932,0.011885886901922034,0.010719136002708273,0.016317478448227674,0.011492617090692249,0.009997712141691227,0.024109789057432895,0.046109989285469055,0.001960978261195123,0.012105942703783512,
20260824,D_input_target_pid1,0.9920411718336842,0.6779823576178998,30,21,30,5,4,30,0.01049121564163797,0.011177298226656737,0.027753860014589536,0.012541399183461156,0.011078535186858906,0.026779930377469993,0.014479255862839633,0.014443062421675826,0.020099594726894567,0.012503956895979587,0.012232965278397156,0.024877795039651363,0.035239631310105324,0.0021275759985049567,0.010833237009743849,0.0037527883308770362
20260825,A_original,1.0097740957955437,0.676985398972754,30,28,30,4,3,30,0.00957815140301098,0.00629029268108041,0.03634831895404941,0.021931982009565643,0.020344293445708848,0.03937885231881237,0.01790441489020817,0.014652739788982514,0.03566975597812704,0.016471516100928264,0.013762441971923924,0.03713230908366294,0.03403800477584203,0.002196758558663229,0.012566061380008856,
20260825,B_beta_input,1.0094133003387975,0.6771494554586641,30,23,30,5,3,30,0.012586385050517061,0.0110168074675085,0.0421698105983411,0.019843645636203635,0.017750855142228135,0.03648724011469517,0.01224009847604081,0.008740635140225272,0.02773755946026341,0.014890043054253834,0.012502765916653969,0.03546487005776656,0.027333829551935196,0.0023944692220538855,0.013085062926014265,
20260825,C_beta_target,1.0156691972243352,0.6780391464014841,30,30,30,4,4,30,0.01938537931587997,0.01909837688766429,0.061093346248438936,0.01386839427353528,0.013723942897598393,0.03197672364132354,0.03454066376313362,0.03238879298532907,0.04866505899503333,0.022598145784182955,0.02173703759019725,0.0472450429615986,0.038910246143738426,0.0021116717252880335,0.012976557947695255,0.004819929195344214
20260825,D_input_target_pid02,1.0146806582074541,0.6778372307265178,30,24,30,5,4,30,0.02234744098592199,0.024967317740684367,0.06170974864704671,0.012480841932710996,0.011187404026961903,0.03138250284432141,0.02481760167741046,0.02329863003289452,0.03857265653532857,0.01988196153201448,0.019817783933513595,0.043888302675565566,0.05014583592613538,0.0024801118609805903,0.014493226384123167,0.004029313295926666
20260825,A_original_pid1,0.9939480645253018,0.6782599916709784,30,25,30,4,3,30,0.01386122297307015,0.014683115966081425,0.03236449740176891,0.012767327087689437,0.01126365369424583,0.029985823692611695,0.011792900949412353,0.010656561349696695,0.018155679600426033,0.01280715033672398,0.01220111033667465,0.026835333564935546,0.053646100064118706,0.0025165166395405927,0.013324729166924953,
20260825,B_beta_input_pid1,0.9942091875667458,0.6779823576178998,30,24,30,5,3,30,0.015689615060919468,0.01544477244320069,0.03381664413038878,0.010642095527735436,0.009462504936219118,0.027964572447119883,0.010230242981618898,0.009799381914231972,0.017421461293236642,0.012187317856757933,0.011568886431217259,0.02640089262358177,0.0389449472228686,0.002068599763636788,0.012335413446029028,
20260825,D_input_target_pid1,0.9945377228265787,0.677647934781237,30,19,30,5,4,30,0.01613379711123193,0.01513869541646592,0.03103969918009032,0.012848141692938476,0.013781622924099863,0.029562109733268872,0.0075441068795616085,0.007105826503982076,0.019202039934338805,0.012175348561244005,0.01200871494818262,0.02660128294923267,0.05647654707233111,0.0025582003872841597,0.01581118752559026,0.0058584032998672585
20260826,A_original,1.0076021936750625,0.6763670322181699,30,28,30,4,3,30,0.016704745021452343,0.018456343201757236,0.036579294922718934,0.02745979311984202,0.024061160388663766,0.049087792622159336,0.02085738200867106,0.01787908847031563,0.030814083590841354,0.021673973383321807,0.02013219735357888,0.03882705704523987,0.037458094457785286,0.002191501553170383,0.015024365546802679,
20260826,B_beta_input,1.0052583699912923,0.6768465819462147,30,27,30,5,3,30,0.012022040493198981,0.011940962397842312,0.03142902615023848,0.020862870652911744,0.02104345273105634,0.045351362803003205,0.01689099884515255,0.015442976359125267,0.03215623518549942,0.016591969997087758,0.016142463829341307,0.03631220804624704,0.044962418576081596,0.002325052007411917,0.013824051090826591,
20260826,C_beta_target,0.9996101815176913,0.677439709241428,30,17,30,4,4,30,0.012540151569398146,0.010192727072932676,0.027725916126108047,0.020770481691127725,0.022343368666251057,0.047491511726948536,0.02289835237794467,0.02114793072192007,0.027468010748152635,0.01873632854615685,0.017894675487034602,0.03422847953373641,0.09740206971764565,0.00313144790319105,0.015110116296758255,0.006100780525338251
20260826,D_input_target_pid02,1.0157269085932847,0.6770421877563383,30,20,30,5,4,30,0.015665618417871428,0.016437396194518214,0.03111044756486077,0.038453527264165885,0.031555386302211795,0.06032767119475791,0.05209615673929659,0.045467926843933644,0.05699461183956986,0.035405100807111296,0.031153569780221217,0.04947757686639618,0.06298488875230153,0.002435638840931157,0.013154511650403341,0.005652538830989105
20260826,A_original_pid1,0.9943520067915794,0.6771368357289786,30,12,30,4,3,30,0.010166576950744275,0.007838449976843187,0.02346176959797594,0.015424233914634643,0.014000040280614004,0.0320107848412068,0.008737440442459578,0.008107024918273769,0.018385244554193932,0.011442750435946164,0.009981838391910318,0.02461926633112556,0.030316763867934544,0.0018009634610886376,0.013081825338304043,
20260826,B_beta_input_pid1,0.99458212263946,0.6770169482969675,30,28,30,5,3,30,0.005963252602607143,0.005697920197164771,0.022456454237548388,0.017485853546675496,0.015597782156647342,0.03405119060147841,0.008450726202236605,0.008228481320315654,0.018853828653976976,0.010633277450506415,0.009841394558042588,0.025120491164334593,0.03350694974263509,0.0021395020885393023,0.012551431078463793,
20260826,D_input_target_pid1,0.9924219091973497,0.677357680998473,30,16,30,5,4,30,0.009716799938794714,0.0077003291165205975,0.02416725256932941,0.01172337698201111,0.010814591362459798,0.029240226155764614,0.013501739653801905,0.012081027943821255,0.017498789729912305,0.011647305524869244,0.010198649474267216,0.023635422818335444,0.06466056654850642,0.003154934306318561,0.01200970479597648,0.004994712132697119
