device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_102
loading deterministic, event-disjoint data splits...
epoch=63 train_loss=-4.17671 val_loss=-4.27291 val_nll=-5.70454 val_joint_nll=-4.98873 val_pid_acc=0.7401
epoch=64 train_loss=-4.17890 val_loss=-4.27625 val_nll=-5.70723 val_joint_nll=-4.99174 val_pid_acc=0.7403
epoch=65 train_loss=-4.18152 val_loss=-4.27679 val_nll=-5.70801 val_joint_nll=-4.99240 val_pid_acc=0.7401
epoch=66 train_loss=-4.18182 val_loss=-4.27788 val_nll=-5.70840 val_joint_nll=-4.99314 val_pid_acc=0.7403
epoch=67 train_loss=-4.18362 val_loss=-4.27785 val_nll=-5.70870 val_joint_nll=-4.99328 val_pid_acc=0.7403
epoch=68 train_loss=-4.18478 val_loss=-4.27798 val_nll=-5.70868 val_joint_nll=-4.99333 val_pid_acc=0.7405
epoch=69 train_loss=-4.18453 val_loss=-4.27990 val_nll=-5.71027 val_joint_nll=-4.99509 val_pid_acc=0.7405
epoch=70 train_loss=-4.18574 val_loss=-4.27968 val_nll=-5.71000 val_joint_nll=-4.99484 val_pid_acc=0.7405
test_nll=-5.709617
test_pid_accuracy=0.7404
checkpoint=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_102/model.pt
