device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s23_203
loading deterministic, event-disjoint data splits...
epoch=64 train_loss=-4.16102 val_loss=-4.22194 val_nll=-5.66213 val_joint_nll=-4.94204 val_pid_acc=0.7387
epoch=65 train_loss=-4.16312 val_loss=-4.22392 val_nll=-5.66409 val_joint_nll=-4.94401 val_pid_acc=0.7386
epoch=66 train_loss=-4.16444 val_loss=-4.22413 val_nll=-5.66407 val_joint_nll=-4.94410 val_pid_acc=0.7387
epoch=67 train_loss=-4.16574 val_loss=-4.22494 val_nll=-5.66480 val_joint_nll=-4.94487 val_pid_acc=0.7387
epoch=68 train_loss=-4.16557 val_loss=-4.22453 val_nll=-5.66438 val_joint_nll=-4.94445 val_pid_acc=0.7386
epoch=69 train_loss=-4.16788 val_loss=-4.22640 val_nll=-5.66583 val_joint_nll=-4.94611 val_pid_acc=0.7388
epoch=70 train_loss=-4.16714 val_loss=-4.22652 val_nll=-5.66590 val_joint_nll=-4.94621 val_pid_acc=0.7388
test_nll=-5.703376
test_pid_accuracy=0.7398
checkpoint=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s23_203/model.pt
